model,window_days,n_predictions,hit_rate_50,ece_50,hit_rate_80,ece_80,hit_rate_90,ece_90,mean_brier_score,mean_ece
claude,1,1085,0.5217,0.0217,0.8046,0.0046,0.8848,0.0152,0.000289,0.0138
claude,2,490,0.4122,0.0878,0.6449,0.1551,0.749,0.151,0.001007,0.1313
claude,3,500,0.368,0.132,0.58,0.22,0.736,0.164,0.001318,0.172
claude,6,985,0.3137,0.1863,0.5604,0.2396,0.7076,0.1924,0.002059,0.2061
claude,7,984,0.3018,0.1982,0.5569,0.2431,0.685,0.215,0.002676,0.2188
claude,18,500,0.276,0.224,0.462,0.338,0.568,0.332,0.007664,0.298
claude,20,1470,0.3381,0.1619,0.5347,0.2653,0.6476,0.2524,0.007279,0.2265
claude,21,500,0.19,0.31,0.414,0.386,0.574,0.326,0.009428,0.3407
claude,22,486,0.284,0.216,0.5123,0.2877,0.5967,0.3033,0.006988,0.269
gemini,1,765,0.4954,0.0046,0.7845,0.0155,0.866,0.034,0.000263,0.018
gemini,2,165,0.2988,0.2012,0.5915,0.2085,0.6829,0.2171,0.000767,0.2089
gemini,3,500,0.3286,0.1714,0.5294,0.2706,0.6734,0.2266,0.00137,0.2229
gemini,6,665,0.4182,0.0818,0.7167,0.0833,0.8121,0.0879,0.001573,0.0843
gemini,7,665,0.3475,0.1525,0.6267,0.1733,0.7754,0.1246,0.003641,0.1501
gemini,18,500,0.4024,0.0976,0.5976,0.2024,0.7012,0.1988,0.009553,0.1663
gemini,20,830,0.5256,0.0256,0.739,0.061,0.8183,0.0817,0.00658,0.0561
gemini,21,500,0.2848,0.2152,0.5859,0.2141,0.703,0.197,0.008603,0.2088
gemini,22,157,0.4551,0.0449,0.8013,0.0013,0.8718,0.0282,0.005272,0.0248
gpt4,1,1097,0.3263,0.1737,0.5524,0.2476,0.6673,0.2327,0.000296,0.218
gpt4,2,498,0.1831,0.3169,0.4004,0.3996,0.4809,0.4191,0.00099,0.3785
gpt4,3,500,0.218,0.282,0.372,0.428,0.47,0.43,0.001319,0.38
gpt4,6,998,0.1427,0.3573,0.3447,0.4553,0.4633,0.4367,0.002022,0.4164
gpt4,7,998,0.1707,0.3293,0.3203,0.4797,0.4508,0.4492,0.002565,0.4194
gpt4,18,500,0.1388,0.3612,0.2716,0.5284,0.3682,0.5318,0.007345,0.4738
gpt4,20,1495,0.1747,0.3253,0.3024,0.4976,0.4012,0.4988,0.006917,0.4406
gpt4,21,500,0.0948,0.4052,0.2157,0.5843,0.3145,0.5855,0.008941,0.525
gpt4,22,499,0.123,0.377,0.244,0.556,0.3347,0.5653,0.00689,0.4994
